Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW,thermal_share_pct,hydro_share_pct,nuclear_share_pct,res_share_pct,coal_share_thermal_pct,lignite_share_thermal_pct,gas_share_thermal_pct,diesel_share_thermal_pct,non_fossil_capacity_mw,non_fossil_share_pct
Western Region,Western Region,State,4510.0,900.0,2021.72,0.0,7431.72,0.0,772.0,14692.57,15464.57,22896.29,32.458184273522036,3.3717252882453885,0.0,64.17009043823256,60.68581701140516,12.110251731765997,27.203931256828835,0.0,15464.57,67.54181572647795
Western Region,Western Region,Private,7144.67,500.0,3170.0,0.0,10814.67,0.0,0.0,31929.58,31929.58,42744.25,25.30087672610936,0.0,0.0,74.69912327389065,66.06461408438723,4.623349579783756,29.312036335829017,0.0,31929.58,74.69912327389065
Western Region,Western Region,Central,4926.49,0.0,424.0,0.0,5350.49,1034.89,265.08,3998.03,4263.11,10648.49,50.24646686995058,2.4893670370165157,9.71865494544297,37.54551114758994,92.07549215118615,0.0,7.924507848813847,0.0,5298.0,49.753533130049426
Western Region,Western Region,Sub-Total,16581.16,1400.0,5615.72,0.0,23596.88,1034.89,1037.08,50620.17,51657.25,76289.02,30.930899361402204,1.3594092570595346,1.3565385949380397,66.3531527866002,70.26844226863889,5.932987750923003,23.798569980438092,0.0,52692.14,69.06910063859779
Western Region,Western Region,State,4570.0,0.0,0.0,0.0,4570.0,0.0,1703.66,168.56,1872.22,6442.22,70.938279040455,26.44523161270494,0.0,2.6164893468400643,100.0,0.0,0.0,0.0,1872.22,29.061720959545
Western Region,Western Region,Private,5744.0,0.0,75.0,0.0,5819.0,0.0,0.0,9460.95,9460.95,15279.95,38.082585348774046,0.0,0.0,61.917414651225954,98.71111874892593,0.0,1.2888812510740677,0.0,9460.95,61.917414651225954
Western Region,Western Region,Central,5186.6,0.0,257.0,0.0,5443.6,491.98,1572.5,884.2,2456.7,8392.28,64.86437535449247,18.737458712054412,5.862292487857888,10.535873445595238,95.27885957822029,0.0,4.721140421779705,0.0,2948.6800000000003,35.13562464550754
Western Region,Western Region,Sub-Total,15500.6,0.0,332.0,0.0,15832.6,491.98,3276.16,10513.71,13789.87,30114.45,52.57476062156208,10.87902983451466,1.633700764915182,34.91250877900808,97.90306077334108,0.0,2.0969392266589186,0.0,14281.849999999999,47.42523937843792
Western Region,Western Region,State,1840.0,0.0,0.0,0.0,1840.0,0.0,120.0,217.08,337.08,2177.08,84.51687581531225,5.511970161868191,0.0,9.971154022819558,100.0,0.0,0.0,0.0,337.08000000000004,15.48312418468775
Western Region,Western Region,Private,8072.5,0.0,0.0,0.0,8072.5,0.0,0.0,2215.55,2215.55,10288.05,78.46482083582409,0.0,0.0,21.535179164175915,100.0,0.0,0.0,0.0,2215.55,21.535179164175915
Western Region,Western Region,Central,2789.37,0.0,0.0,0.0,2789.37,135.57,231.5,0.0,231.5,3156.44,88.37075946319271,7.334211960309715,4.295028576497573,0.0,100.0,0.0,0.0,0.0,367.07,11.62924053680729
Western Region,Western Region,Sub-Total,12701.87,0.0,0.0,0.0,12701.87,135.57,351.5,2432.63,2784.13,15621.57,81.30981713105662,2.2500939406218454,0.8678385079092563,15.57225042041229,100.0,0.0,0.0,0.0,2919.7000000000003,18.690182868943392
Western Region,Western Region,State,10200.0,0.0,672.0,0.0,10872.0,0.0,2850.84,353.21,3204.05,14076.05,77.23757730329176,20.253124988899586,0.0,2.5092977078086536,93.81898454746137,0.0,6.181015452538632,0.0,3204.05,22.76242269670824
Western Region,Western Region,Private,9656.0,0.0,180.0,0.0,9836.0,0.0,481.0,29723.76,30204.76,40040.76,24.564968297305047,1.2012758998580446,0.0,74.2337558028369,98.16998779991867,0.0,1.8300122000813337,0.0,30204.76,75.43503170269494
Western Region,Western Region,Central,4858.24,0.0,2272.73,0.0,7130.97,1068.66,91.5,70.86,162.36,8361.99,85.27838469072555,1.0942371373321422,12.779972231490353,0.8474059404519738,68.12873984885645,0.0,31.87126015114353,0.0,1231.02,14.721615309274465
Western Region,Western Region,Sub-Total,24714.24,0.0,3124.73,0.0,27838.97,1068.66,3423.34,30147.82,33571.16,62478.79,44.55747302404544,5.479203422473451,1.7104364537149328,48.25288709976617,88.77569823883572,0.0,11.224301761164297,0.0,34639.82,55.44252697595455
Western Region,Western Region,Private,200.0,0.0,0.0,0.0,200.0,0.0,0.0,147.15,147.15,347.15,57.61198329252485,0.0,0.0,42.38801670747516,100.0,0.0,0.0,0.0,147.15,42.38801670747516
Western Region,and Diu,Central,387.15,0.0,109.68,0.0,496.83,29.22,0.0,0.0,0.0,526.05,94.44539492443684,0.0,5.55460507556316,0.0,77.92403840347805,0.0,22.07596159652195,0.0,29.22,5.55460507556316
Western Region,and Diu,Sub-Total,587.15,0.0,109.68,0.0,696.83,29.22,0.0,147.15,147.15,873.2,79.80187814933578,0.0,3.346312414109024,16.8518094365552,84.2601495343197,0.0,15.739850465680295,0.0,176.37,20.198121850664222
Western Region,and Diu,Central,2835.45,0.0,197.59,0.0,3033.04,438.0,0.0,0.0,0.0,3471.04,87.38130358624504,0.0,12.618696413754957,0.0,93.48541397409859,0.0,6.514586025901406,0.0,438.0,12.618696413754957
Western Region,and Diu,State,21120.0,900.0,2693.72,0.0,24713.72,0.0,5446.5,15431.41,20877.91,45591.63,54.20670416916439,11.94627171697963,0.0,33.84702411385599,85.45860356109885,3.6417018562968257,10.899694582604317,0.0,20877.91,45.79329583083562
Western Region,Total (Western,Private,30817.17,500.0,3425.0,0.0,34742.17,0.0,481.0,73573.69,74054.69,108796.86,31.933063141711994,0.44210834761223805,0.0,67.62482851067577,88.70249037409005,1.4391732007528604,9.858336425157093,0.0,74054.69,68.066936858288
Western Region,Region),Central,21475.56,0.0,3280.67,0.0,24756.23,3240.0,2166.58,4954.09,7120.67,35116.9,70.49662698017194,6.1696220338355605,9.226326925212646,14.107424060779852,86.74810340669804,0.0,13.251896593301971,0.0,10360.67,29.50337301982806
Western Region,Region),Grand Total,73412.73,1400.0,9399.39,0.0,84212.12,3240.0,8094.08,93959.19,102053.27,189505.39,44.43784949863431,4.27116083611131,1.7097139031243385,49.58127576213003,87.1759670698232,1.6624685377829227,11.161564392393874,0.0,105293.27,55.56215050136568
Southern Region,Southern Region,State,6610.0,0.0,235.4,0.0,6845.4,0.0,1673.6,476.89,2150.49,8995.89,76.09474993580402,18.60405140569749,0.0,5.3011986584984925,96.56119437870687,0.0,3.438805621293131,0.0,2150.49,23.905250064195982
