state_id,state_name,region,fiscal_year,cumulative_re_capacity_mw
IN-HR,Haryana,Northern Region,2024_25,2449.94
IN-HP,Himachal Pradesh,Northern Region,2024_25,12196.18
IN-JK,Jammu and Kashmir,Northern Region,2024_25,3624.42
IN-LA,Ladakh,Northern Region,2024_25,142.59
IN-PB,Punjab,Northern Region,2024_25,3270.42
IN-RJ,Rajasthan,Northern Region,2024_25,34136.34
IN-UP,Uttar Pradesh,Northern Region,2024_25,6223.91
IN-UT,Uttarakhand,Northern Region,2024_25,5010.77
IN-CH,Chandigarh,Northern Region,2024_25,78.85
IN-DL,Delhi,Northern Region,2024_25,397.4
IN-AR,Arunachal Pradesh,Eastern Region,2024_25,1270.46
IN-AS,Assam,Eastern Region,2024_25,582.65
IN-MN,Manipur,Eastern Region,2024_25,124.24
IN-ML,Meghalaya,Eastern Region,2024_25,395.11
IN-MZ,Mizoram,Eastern Region,2024_25,135.86
IN-NL,Nagaland,Eastern Region,2024_25,110.84
IN-TR,Tripura,Eastern Region,2024_25,37.25
IN-CT,Chhattisgarh,Western Region,2024_25,1828.46
IN-GA,Goa,Western Region,2024_25,58.43
IN-GJ,Gujarat,Western Region,2024_25,33393.03
IN-MP,Madhya Pradesh,Western Region,2024_25,10827.7
IN-MH,Maharashtra,Western Region,2024_25,22401.46
IN-DH,Dadra and Nagar Haveli and Daman and Diu,Western Region,2024_25,51.87
IN-BR,Bihar,Eastern Region,2024_25,539.26
IN-JH,Jharkhand,Eastern Region,2024_25,434.06
IN-OR,Odisha,Eastern Region,2024_25,2958.84
IN-SK,Sikkim,Eastern Region,2024_25,2344.67
IN-WB,West Bengal,Eastern Region,2024_25,2112.18
IN-AP,Andhra Pradesh,Southern Region,2024_25,12114.48
IN-KA,Karnataka,Southern Region,2024_25,23917.64
IN-KL,Kerala,Southern Region,2024_25,3853.38
IN-TN,Tamil Nadu,Southern Region,2024_25,25241.36
IN-TG,Telangana,Southern Region,2024_25,7688.34
IN-LD,Lakshadweep,Southern Region,2024_25,4.97
IN-PY,Puducherry,Southern Region,2024_25,54.51
