Region,State_UT,Sector,Coal_MW,Lignite_MW,Gas_MW,Diesel_MW,Thermal_Total_MW,Nuclear_MW,Hydro_MW,RES_MNRE_MW,Total_RES_incl_Hydro_MW,Grand_Total_MW
Western Region,Region),Grand Total,73412.73,1400.0,9399.39,0.0,84212.12,3240.0,8094.08,93959.19,102053.27,189505.39
Southern Region,Southern Region,State,6610.0,0.0,235.4,0.0,6845.4,0.0,1673.6,476.89,2150.49,8995.89
Southern Region,Southern Region,Private,4573.88,0.0,1065.3,36.8,5675.98,0.0,1680.0,12126.48,13806.48,19482.46
Southern Region,Southern Region,Central,1546.95,180.23,0.0,0.0,1727.18,127.27,0.0,782.06,782.06,2636.51
Southern Region,Southern Region,Sub-Total,12730.83,180.23,1300.7,36.8,14248.56,127.27,3353.6,13385.43,16739.03,31114.86
Southern Region,Southern Region,State,9380.0,0.0,0.0,0.0,9380.0,0.0,2479.93,51.81,2531.74,11911.74
Southern Region,Southern Region,Private,1389.45,0.0,438.7,0.0,1828.15,0.0,0.0,5463.17,5463.17,7291.32
Southern Region,Southern Region,Central,3166.85,61.3,0.0,0.0,3228.15,148.73,0.0,110.0,110.0,3486.88
Southern Region,Southern Region,Sub-Total,13936.3,61.3,438.7,0.0,14436.3,148.73,2479.93,5624.98,8104.91,22689.94
Southern Region,Southern Region,State,5020.0,0.0,370.05,0.0,5390.05,0.0,3631.6,436.59,4068.19,9458.24
Southern Region,Southern Region,Private,2050.0,0.0,0.0,25.2,2075.2,0.0,0.0,22675.95,22675.95,24751.15
Southern Region,Southern Region,Central,2877.8,471.9,0.0,0.0,3349.7,698.0,0.0,640.0,640.0,4687.7
Southern Region,Southern Region,Sub-Total,9947.8,471.9,370.05,25.2,10814.95,698.0,3631.6,23752.54,27384.14,38897.09
Southern Region,Southern Region,State,0.0,0.0,0.0,159.96,159.96,0.0,2008.15,216.91,2225.06,2385.02
Southern Region,Southern Region,Private,832.5,0.0,0.0,0.0,832.5,0.0,0.0,2618.33,2618.33,3450.83
Southern Region,Southern Region,Central,1403.32,314.2,359.58,0.0,2077.1,362.0,0.0,142.0,142.0,2581.1
Southern Region,Southern Region,Sub-Total,2235.82,314.2,359.58,159.96,3069.56,362.0,2008.15,2977.24,4985.39,8416.94
Southern Region,Southern Region,State,5120.0,0.0,514.08,0.0,5634.08,0.0,2203.2,275.15,2478.35,8112.43
Southern Region,Southern Region,Private,5560.17,250.0,330.5,211.7,6352.37,0.0,0.0,26992.72,26992.72,33345.09
Southern Region,Southern Region,Central,3025.32,1666.57,0.0,0.0,4691.89,1448.0,0.0,380.56,380.56,6520.45
Southern Region,Southern Region,Sub-Total,13705.49,1916.57,844.58,211.7,16678.34,1448.0,2203.2,27648.43,29851.63,47977.97
Southern Region,Southern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Region,Southern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Region,Southern Region,Central,0.0,166.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,166.0
Southern Region,Southern Region,Sub-Total,0.0,166.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,166.0
Southern Region,Southern Region,State,0.0,0.0,32.5,0.0,32.5,0.0,0.0,0.0,0.0,32.5
Southern Region,Southern Region,Private,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.51,92.51,92.51
Southern Region,Southern Region,Central,140.8,111.8,0.0,0.0,252.6,86.0,0.0,0.0,0.0,338.6
Southern Region,Southern Region,Sub-Total,140.8,111.8,32.5,0.0,285.1,86.0,0.0,92.51,92.51,463.61
Southern Region,Southern Region,Central,1666.0,418.0,0.0,0.0,2084.0,450.0,0.0,0.0,0.0,2534.0
Southern Region,Southern Region,State,26130.0,0.0,1152.03,159.96,27441.99,0.0,11996.48,1457.35,13453.83,40895.82
Southern Region,Total (Southern,Private,14406.0,250.0,1834.5,273.7,16764.21,0.0,1680.0,69969.16,71649.16,88413.36
Southern Region,Region),Central,13827.04,3390.0,359.58,0.0,17576.62,3320.0,0.0,2054.62,2054.62,22951.24
Southern Region,Region),Grand Total,54363.04,3640.0,3346.11,433.66,61782.81,3320.0,13676.48,73481.13,87157.61,152260.42
Eastern Region,Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7,70.7,70.7
Eastern Region,Eastern Region,Private,700.0,0.0,0.0,0.0,700.0,0.0,0.0,638.6,638.6,1338.6
Eastern Region,Eastern Region,Central,7274.79,0.0,0.0,0.0,7274.79,0.0,72.88,0.0,72.88,7347.66
Eastern Region,Eastern Region,Sub-Total,7974.79,0.0,0.0,0.0,7974.79,0.0,72.88,709.3,782.18,8756.96
Eastern Region,Eastern Region,State,420.0,0.0,0.0,0.0,420.0,0.0,130.0,0.05,130.05,550.05
Eastern Region,Eastern Region,Private,580.0,0.0,0.0,0.0,580.0,0.0,0.0,338.26,338.26,918.26
Eastern Region,Eastern Region,Central,3101.28,0.0,0.0,0.0,3101.28,0.0,46.98,4.0,50.98,3152.26
Eastern Region,Eastern Region,Sub-Total,4101.28,0.0,0.0,0.0,4101.28,0.0,176.98,342.31,519.3,4620.58
Eastern Region,Eastern Region,State,5470.0,0.0,0.0,0.0,5470.0,0.0,986.0,342.84,1328.84,6798.84
Eastern Region,Eastern Region,Private,2185.0,0.0,0.0,0.0,2185.0,0.0,0.0,446.92,446.92,2631.92
Eastern Region,Eastern Region,Central,1873.7,0.0,0.0,0.0,1873.7,0.0,497.3,24.1,521.4,2395.1
Eastern Region,Eastern Region,Sub-Total,9528.7,0.0,0.0,0.0,9528.7,0.0,1483.3,813.86,2297.16,11825.86
Eastern Region,Eastern Region,State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Region,Eastern Region,Private,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,150.0
Eastern Region,Eastern Region,Central,2887.02,0.0,0.0,0.0,2887.02,0.0,221.26,0.0,221.26,3108.28
Eastern Region,Eastern Region,Sub-Total,3037.02,0.0,0.0,0.0,3037.02,0.0,221.26,0.0,221.26,3258.28
Eastern Region,Eastern Region,State,1740.0,0.0,0.0,0.0,1740.0,0.0,2074.22,7.63,2081.85,3821.85
Eastern Region,Eastern Region,Private,2096.0,0.0,0.0,0.0,2096.0,0.0,0.0,1319.65,1319.65,3415.65
